outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,benchmark,benchmark_se,centroid,centroid_se,corrected,corrected_se,delta_centroid,delta_corrected,mean_error_centroid,mean_error_corrected,rmse_sd_exact_centroid,rmse_sd_exact_corrected,rmse_improvement_percent,N
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,full,-0.308674585741528,0.000872144424882573,-0.308683727879238,0.000872138273306942,-0.308658129563236,0.000872113143143712,-0.00000914213770997208,0.0000164561782920458,-0.00669839428620795,-0.00573173688130459,0.0060442043098356,0.00519426134059433,14.0621151382685,281194
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,full,-0.191404476124357,0.0474668347801416,-0.19242724109207,0.0477915488335128,-0.191349783922301,0.0475493579208083,-0.0010227649677122,0.0000546922020564777,-0.00669839428620795,-0.00573173688130459,0.0060442043098356,0.00519426134059433,14.0621151382685,281194
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,full,-0.327662715909045,0.0467783046258063,-0.327661411314661,0.0469414209809111,-0.327630648060389,0.0468429266141441,0.00000130459438413277,0.0000320678486557813,-0.00669839428620795,-0.00573173688130459,0.0060442043098356,0.00519426134059433,14.0621151382685,281194
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,-0.192791498549251,0.00161477068012673,-0.192798877439419,0.0016133238081213,-0.192772971418044,0.00161461615334782,-0.00000737889016733107,0.0000185271312069801,0.00854372345798571,0.00132089479461832,0.0128980064088211,0.0107739442888549,16.4681428481343,58200
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,-0.197444644791518,0.0691836593847316,-0.195720636216998,0.0659464000857768,-0.196231332873322,0.0669248413962012,0.00172400857451968,0.00121331191819571,0.00854372345798571,0.00132089479461832,0.0128980064088211,0.0107739442888549,16.4681428481343,58199
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,-0.272382842177112,0.0257780593415819,-0.270889074114729,0.0259130781815208,-0.271677140141343,0.0258044108319859,0.00149376806238266,0.000705702035768807,0.00854372345798571,0.00132089479461832,0.0128980064088211,0.0107739442888549,16.4681428481343,58199
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,full,-0.308674585741528,0.000872144424882573,-0.309163770979781,0.000872415936359345,-0.30788058629135,0.000870698163160483,-0.000489185238253143,0.00079399945017844,0.123877879079985,-0.0692453559911247,0.0391092762743666,0.0351049880366948,10.2387173047648,281194
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,full,-0.191404476124357,0.0474668347801416,-0.197745226563968,0.0474001038805885,-0.185909771932564,0.0500868327261947,-0.00634075043961024,0.00549470419179368,0.123877879079985,-0.0692453559911247,0.0391092762743666,0.0351049880366948,10.2387173047648,281194
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,full,-0.327662715909045,0.0467783046258063,-0.328362131351264,0.0450496473718462,-0.325491582206588,0.047159097897639,-0.000699415442219076,0.00217113370245714,0.123877879079985,-0.0692453559911247,0.0391092762743666,0.0351049880366948,10.2387173047648,281194
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,-0.192859988435046,0.00161483269352232,-0.193005508705761,0.00160610884134987,-0.190920336410771,0.0015880341337596,-0.000145520270715238,0.00193965202427471,0.0291542856457322,0.0121321122230481,0.0594924691781791,0.0751373260373593,-26.2972054703666,58217
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,-0.197374967141006,0.0692055335282612,-0.217727754749203,0.0556647959327096,-0.188306241579025,0.0440121577737745,-0.0203527876081963,0.00906872556198077,0.0291542856457322,0.0121321122230481,0.0594924691781791,0.0751373260373593,-26.2972054703666,58216
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,-0.272398776311001,0.02578855591001,-0.274262582789702,0.0200853601671669,-0.25236592953068,0.0236809931055996,-0.00186380647870105,0.0200328467803205,0.0291542856457322,0.0121321122230481,0.0594924691781791,0.0751373260373593,-26.2972054703666,58216
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,full,-0.308609502942685,0.000872302905275813,-0.309747040344948,0.000870969402818272,-0.307913945121133,0.000870910422975696,-0.00113753740226219,0.000695557821551951,0.875500122582421,0.0196361356035453,0.0648433831980353,0.042400567212269,34.6108035683837,281076
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,full,-0.191103601907161,0.0475113119862204,-0.182867319777506,0.0410245492547188,-0.186117642617293,0.0451181951394922,0.00823628212965527,0.00498595928986892,0.875500122582421,0.0196361356035453,0.0648433831980353,0.042400567212269,34.6108035683837,281076
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,full,-0.327564009866097,0.0467979683967773,-0.308791913027925,0.0449216602633004,-0.322483104069297,0.0472623050133668,0.0187720968381729,0.0050809057968001,0.875500122582421,0.0196361356035453,0.0648433831980353,0.042400567212269,34.6108035683837,281076
