property_type,mean,median,sd,N,variable,label,source
Apartment,961950.750316536,780000,600979.93133114,59235,Purchase.price,Price (AUD),NSW Valuer General
House,1239294.28221262,975000,830060.756393277,281621,Purchase.price,Price (AUD),NSW Valuer General
Apartment,147.780401114206,115,177.585470083315,59235,Area,Area (sqm),NSW Valuer General
House,800.405647526285,626,891.217056273994,281621,Area,Area (sqm),NSW Valuer General
Apartment,1058.79590099006,1072.038361,95.3885800141444,58217,irsad,IRSAD,ABS
House,1004.94993226052,1004.526227,103.280861459987,281188,irsad,IRSAD,ABS
Apartment,943.31849118364,940.4777068,79.9156931153122,58217,ier,IER,ABS
House,1018.73127019043,1021.593935,95.8161001510733,281194,ier,IER,ABS
Apartment,62.923559480569,16.3300457205112,133.745325460401,59235,dist_cbd_km,CBD distance (km),G-NAF
House,140.956390878065,62.4929414587248,169.622403024535,281621,dist_cbd_km,CBD distance (km),G-NAF
Apartment,2.24066476514039,1.51860311895349,3.21846207524954,59235,dist_hosp_km,Hospital distance (km),OpenStreetMap
House,4.61753145154392,2.7506013387708,6.11189835625753,281621,dist_hosp_km,Hospital distance (km),OpenStreetMap
Apartment,0.27373476544659,0.216717622601008,0.371998803902134,59235,dist_park_km,Park distance (km),OpenStreetMap
House,0.49102890225115,0.295262309986471,1.01147647769083,281621,dist_park_km,Park distance (km),OpenStreetMap
Apartment,4.60188204811397,0.791136196184411,14.2410508636537,59235,dist_rail_km,Rail distance (km),OpenStreetMap
House,11.3970783214886,2.56338244842677,24.0195408678525,281621,dist_rail_km,Rail distance (km),OpenStreetMap
Apartment,184.00523339242,81,324.36042211009,59235,shops_1km,Shops within 1 km,G-NAF
House,34.8185398105965,7,94.4013770228367,281621,shops_1km,Shops within 1 km,G-NAF
