outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,benchmark,centroid,delta,covariance_component,variance_component,decomposition_sum,identity_error,conditional_variance_ratio,conditional_error_variance,conditional_cov_exact_error,conditional_cov_error_y,N
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,full,-0.308674585746296,-0.308683727896611,-0.0000091421503154443,-0.00000651937092557889,-0.0000026227793898181,-0.00000914215031539698,-0.0000000000000000473131428512571,1.00000849690746,0.0000622402081677335,-0.0000342920087735694,-0.00000486737635168861,281194
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,full,-0.191404476124357,-0.192427241092074,-0.00102276496771705,-0.0012796356104098,0.000256870642692745,-0.00102276496771706,0.00000000000000000298155597433514,0.998657969510985,0.0000619170157622856,-0.0000205266128924871,-0.0000198937720429019,281194
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,full,-0.327662715909037,-0.327661411314655,0.00000130459438241193,-0.000239604427293913,0.000240909021676333,0.00000130459438242028,-0.00000000000000000834835672813838,0.999264765229672,0.0000621446287110597,-0.0000105608300059212,-0.0000133689065285775,281194
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,-0.192859988424133,-0.192867108053223,-0.00000711962908947483,-0.000281542596060654,0.000274422966971184,-0.00000711962908947071,-0.00000000000000000411996825544492,0.99857708709197,0.000319060473131537,0.000476274895807607,-0.000251605318283236,58217
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,-0.197374967141006,-0.195647457954332,0.0017275091866738,-0.00418653131944281,0.00591404050611662,0.00172750918667381,-0.00000000000000000346944695195361,0.970036521896459,0.000314050031394189,0.00052289427585201,-0.000189998197066936,58216
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,-0.272398776311,-0.270901951979882,0.00149682433111747,-0.00163096505144191,0.00312778938255935,0.00149682433111744,0.0000000000000000329597460435593,0.988517608540986,0.000317820690668275,0.000424570312296549,-0.000165755812138053,58216
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,full,-0.308674585746296,-0.309163771194557,-0.000489185448261154,-0.0000544405302746787,-0.000434744917986412,-0.000489185448261091,-0.0000000000000000625584653524136,1.00140842472319,0.00257473038643298,-0.00181239665675278,-0.000040588596344724,281194
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,full,-0.191404476124357,-0.197745226563953,-0.00634075043959509,-0.000940387818398501,-0.00540036262119658,-0.00634075043959508,-0.00000000000000000693889390390723,1.02821440088835,0.00234516915566139,-0.00138559690979917,-0.0000141994297837132,281194
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,full,-0.327662715909037,-0.328362131351265,-0.000699415442227236,-0.00531413799667961,0.00461472255445237,-0.000699415442227235,-0.000000000000000000867361737988404,0.985916241517898,0.00253388902580962,-0.00086871799648219,-0.000300520726040029,281194
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,-0.192859988424133,-0.193005508724268,-0.000145520300134927,-0.00175733881405308,0.00161181851391819,-0.000145520300134897,-0.0000000000000000299239799605999,0.991642545832921,0.00679871966175057,0.000361145068527283,-0.00158145796268634,58217
