outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,mean_proxy_error_raw,rmse_sd_exact,exact_proxy_variance_ratio,corr_proxy_error,corr_exact_error,N
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,-0.00670726382528827,0.0060622661406903,0.999876111109431,0.0132497284388163,0.0071883805423411,281621
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,0.00820058114457804,0.0129130174737139,0.99903792760658,0.0437245476934156,0.0308330715129095,59235
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,0.124027987898704,0.0391110763180987,1.00388833861741,-0.0301882514710547,-0.0691453446833731,281621
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,0.0322440914571212,0.0595029402523222,0.998756416199677,0.0401538729190554,-0.019214808149549,59235
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,0.87678764649951,0.0648772834650664,1.00529436843425,-0.00912709357045262,-0.0731392564706712,281503
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,0.418240441455048,0.215091562860253,0.894931028509133,0.359935486616278,0.165406119598499,59222
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,-0.637402750505112,0.442534246924472,0.994910735415704,0.226223418438687,-0.215229001604066,281621
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,-0.0961593652401452,0.35531801155442,0.992234419173546,0.187929788781744,-0.166636300568959,59235
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,2.45714985743251,1.08653904530956,0.862695599220571,0.570362275484044,-0.466831561646638,281621
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,-16.9526462395543,0.959959511611931,0.69288081266856,0.585098321978083,-0.225460624025636,59235
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,-0.432457202942775,1.13922696492239,0.885736331007065,0.570909375484981,-0.48885647398553,281503
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,-32.7880686231468,1.23696436321685,0.620266189246499,0.661533146020492,-0.305507108478612,59222
shops2,Shops within 2 km,primary,3,sa1,SA1,1,house,House,1,-0.459099285919729,0.296022331207453,0.983120261764449,0.175411065568619,-0.118860325019228,281621
shops2,Shops within 2 km,primary,3,sa1,SA1,1,apartment,Apartment,2,-1.66987422976281,0.211884396330702,0.985752445437983,0.139014176831675,-0.071768884019767,59235
shops2,Shops within 2 km,primary,3,sa2,SA2,2,house,House,1,-13.5438408357331,0.947541684923469,0.724725287840645,0.564537659851685,-0.244792717207731,281621
shops2,Shops within 2 km,primary,3,sa2,SA2,2,apartment,Apartment,2,-15.468945724656,0.852113555280288,0.583599450060415,0.645448184352833,0.0186417166101933,59235
shops2,Shops within 2 km,primary,3,poa,Postcode,3,house,House,1,-20.3767490932601,1.21937847507221,0.599338658490616,0.655977303957367,-0.222402014024395,281503
shops2,Shops within 2 km,primary,3,poa,Postcode,3,apartment,Apartment,2,-50.7437438789639,1.20037505675872,0.426708811798227,0.757958230506809,0.0532396894146487,59222
shops5,Shops within 5 km,primary,4,sa1,SA1,1,house,House,1,-0.727392488486299,0.152225654615729,0.977233398503215,0.150887362722396,0.000635553787397676,281621
shops5,Shops within 5 km,primary,4,sa1,SA1,1,apartment,Apartment,2,-4.79949354266903,0.105228187354861,0.985998053315957,0.119255953563966,0.0149385560624686,59235
shops5,Shops within 5 km,primary,4,sa2,SA2,2,house,House,1,-22.0725620603577,0.512359607212415,0.77871308329014,0.471884621637795,0.0422215396675772,281621
shops5,Shops within 5 km,primary,4,sa2,SA2,2,apartment,Apartment,2,-25.8370051489829,0.485966558318739,0.703097100580877,0.570870196779537,0.203055880622986,59235
shops5,Shops within 5 km,primary,4,poa,Postcode,3,house,House,1,-74.9984476186755,1.14492438916013,0.477980143115538,0.723705511626438,0.060158134292593,281503
shops5,Shops within 5 km,primary,4,poa,Postcode,3,apartment,Apartment,2,-85.2770929722063,1.11647131546087,0.367078442895941,0.813825827828654,0.282961374775439,59222
hospital,Hospital distance,additional,5,sa1,SA1,1,house,House,1,0.0340680104315845,0.171122920127792,1.00132872678638,0.0816170383141049,-0.0893278523216135,281621
hospital,Hospital distance,additional,5,sa1,SA1,1,apartment,Apartment,2,0.0200418497426233,0.196683218950048,1.00155690045906,0.0942803434163701,-0.102124659140184,59235
hospital,Hospital distance,additional,5,sa2,SA2,2,house,House,1,0.852010304409518,0.845277770193644,0.90206844692891,0.456534562653884,-0.349982371938527,281621
hospital,Hospital distance,additional,5,sa2,SA2,2,apartment,Apartment,2,0.27125071359846,0.708871705630325,0.911203080469138,0.402106428560949,-0.282835755267271,59235
hospital,Hospital distance,additional,5,poa,Postcode,3,house,House,1,3.63994586568704,1.22018862110315,0.825646475246025,0.583762924089099,-0.448965567579596,281503
hospital,Hospital distance,additional,5,poa,Postcode,3,apartment,Apartment,2,1.1943586822921,1.05644573434035,0.75222507750446,0.580209581839579,-0.343715705440381,59222
park,Park distance,additional,6,sa1,SA1,1,house,House,1,0.0527307007571301,0.741679558676194,0.789434436330735,0.489242421164884,-0.190977533547614,281621
park,Park distance,additional,6,sa1,SA1,1,apartment,Apartment,2,0.0122553901060427,0.776873167622375,0.761592717913917,0.514805845498516,-0.186949580700008,59235
park,Park distance,additional,6,sa2,SA2,2,house,House,1,1.03064754805863,1.69201516648221,0.428673731380012,0.7858161324744,-0.328221434899347,281621
park,Park distance,additional,6,sa2,SA2,2,apartment,Apartment,2,0.200523153351378,1.43738079667337,0.557379778318426,0.733171323342039,-0.412670274250414,59235
park,Park distance,additional,6,poa,Postcode,3,house,House,1,2.71880204487634,2.29857259867599,0.278644496824167,0.857806319271856,-0.22793012321374,281503
park,Park distance,additional,6,poa,Postcode,3,apartment,Apartment,2,0.683885057594858,1.90707387919604,0.317903474542982,0.843454375813032,-0.303686266005594,59222
rail,Rail distance,additional,7,sa1,SA1,1,house,House,1,0.0281904984479558,0.12816170829508,1.00797094769517,0.0331977011489716,-0.0948751088255572,281621
rail,Rail distance,additional,7,sa1,SA1,1,apartment,Apartment,2,0.00841536419627719,0.182982129072081,1.01287030748012,0.0570590393983035,-0.126178966543869,59235
rail,Rail distance,additional,7,sa2,SA2,2,house,House,1,0.397657698832078,0.527325117011241,0.939187549324547,0.313711388484946,-0.200092831626377,281621
rail,Rail distance,additional,7,sa2,SA2,2,apartment,Apartment,2,0.153988905834563,0.588064812448639,1.0871915206802,0.223458247965061,-0.355144804000206,59235
rail,Rail distance,additional,7,poa,Postcode,3,house,House,1,2.18742930404843,0.76842880587792,0.795354901247579,0.487873738650428,-0.204849364193357,281503
rail,Rail distance,additional,7,poa,Postcode,3,apartment,Apartment,2,0.758079235617873,0.720197944422847,0.907687417244959,0.399000679872415,-0.271462011918015,59222
