region,mean,median,sd,variable,geography
Non-Sydney,5891.55656172244,34.4297203502233,83423.776912843,area_sa,SA1
Sydney,97.8273652790458,12.2566147824858,2283.35914858113,area_sa,SA1
Non-Sydney,0.562127888474044,0.653424320012478,0.359528177728008,shr_resid,SA1
Sydney,0.707719487834023,0.835393641757649,0.318875877473752,shr_resid,SA1
Non-Sydney,0.254279576248907,0.154937985459915,0.355490989798741,HS_stat_A,SA1
Sydney,0.312453907793526,0.199870345434257,0.40841882017684,HS_stat_A,SA1
Non-Sydney,0.63626767840598,0.543376666140486,0.397620285863782,var_circ,SA1
Sydney,0.642234917346644,0.537929301889878,0.402760925953924,var_circ,SA1
Non-Sydney,301406.910844385,10103.8694156414,1143155.20487875,area_sa,SA2
Sydney,8346.96982802444,570.925509977437,57046.9129028042,area_sa,SA2
Non-Sydney,0.160891345705569,0.105933001234601,0.179875490631053,shr_resid,SA2
Sydney,0.470664553581345,0.522536043974397,0.272144977509623,shr_resid,SA2
Non-Sydney,0.0147196526813535,0.00756568084269092,0.0195943952436427,HS_stat_A,SA2
Sydney,0.0516036860409652,0.0235708129460636,0.0668084923480743,HS_stat_A,SA2
Non-Sydney,0.621629576566664,0.518977643758545,0.359089012967012,var_circ,SA2
Sydney,0.603879824093715,0.538364124894051,0.295657004195957,var_circ,SA2
Non-Sydney,231466.167006864,77821.4633016975,632955.531404502,area_sa,Postcode
Sydney,12515.2645153872,813.046558866663,59144.5992015177,area_sa,Postcode
Non-Sydney,0.0712922203248972,0.00589165352965987,0.145315149994758,shr_resid,Postcode
Sydney,0.416506557332786,0.440400274381261,0.275665119815317,shr_resid,Postcode
Non-Sydney,0.0241922209004489,0.00639398234279778,0.0545265331179223,HS_stat_A,Postcode
Sydney,0.0414793164022752,0.0158636335220684,0.0605683648400428,HS_stat_A,Postcode
Non-Sydney,0.713711674724589,0.574768652134043,0.531417106444894,var_circ,Postcode
Sydney,0.657271481299735,0.543332319443705,0.478269322463721,var_circ,Postcode
